.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
NAIVE_model,Beans,Retail,Dambulla,Test,-147.85714285714286,166.95349129965163,147.85714285714286,-27.86801265396149,27.86801265396149,NA,NA,0.4550663160605312
NAIVE_model,Beans,Retail,Pettah,Test,-257.14285714285717,273.135700914922,257.14285714285717,-42.93878048404728,42.93878048404728,NA,NA,0.5920519492543905
NAIVE_model,Beans,Wholesale,Dambulla,Test,-147.85714285714286,166.95349129965163,147.85714285714286,-29.57636727382807,29.57636727382807,NA,NA,0.4550663160605312
NAIVE_model,Beans,Wholesale,Pettah,Test,-257.1428571428571,273.135700914922,257.1428571428571,-51.76866648653745,51.76866648653745,NA,NA,0.5920519492543905
NAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,-22.428571428571427,28.62211382829717,25.285714285714285,-13.284523247188513,14.645067464875588,NA,NA,-0.038269302748003095
NAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-22.857142857142858,28.508088576502534,22.857142857142858,-11.19750767294503,11.19750767294503,NA,NA,0.6678716606983911
NAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,-22.428571428571427,28.62211382829717,25.285714285714285,-15.066248624389921,16.57000802288616,NA,NA,-0.038269302748003095
NAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-22.428571428571427,25.310973904612993,22.428571428571427,-14.403924777714906,14.403924777714906,NA,NA,0.6192947455081936
NAIVE_model,Brinjal,Retail,Dambulla,Test,-128.57142857142858,134.81324532213338,128.57142857142858,-29.734298407250492,29.734298407250492,NA,NA,0.08596500258423243
NAIVE_model,Brinjal,Retail,Pettah,Test,-7.142857142857142,30.210636253762395,21.428571428571427,-2.049441239396947,4.906584096539804,NA,NA,-0.1729539390782205
NAIVE_model,Brinjal,Wholesale,Dambulla,Test,-128.57142857142858,134.81324532213338,128.57142857142858,-31.992879772367342,31.992879772367342,NA,NA,0.08596500258423243
NAIVE_model,Brinjal,Wholesale,Pettah,Test,-7.142857142857142,30.210636253762395,21.428571428571427,-2.373322000891187,5.5479251754943615,NA,NA,-0.1729539390782205
NAIVE_model,Cabbage,Retail,Dambulla,Test,-17.142857142857142,23.72093048042473,20,-7.545474957243947,8.603676015445004,NA,NA,0.4287786962150791
NAIVE_model,Cabbage,Retail,Pettah,Test,-7.142857142857142,18.89822365046136,7.142857142857142,-2.380952380952381,2.380952380952381,NA,NA,-0.0238095238095238
NAIVE_model,Cabbage,Wholesale,Dambulla,Test,-17.142857142857142,23.72093048042473,20,-8.69369342169966,9.88416961217585,NA,NA,0.4287786962150791
NAIVE_model,Cabbage,Wholesale,Pettah,Test,-7.142857142857142,18.89822365046136,7.142857142857142,-2.8571428571428568,2.8571428571428568,NA,NA,-0.0238095238095238
NAIVE_model,Carrot,Retail,Dambulla,Test,127.85714285714286,133.4032554753765,127.85714285714286,32.222164899596706,32.222164899596706,NA,NA,-0.04059356136820927
NAIVE_model,Carrot,Retail,Pettah,Test,110,119.19718225336896,110,25.878190557001293,25.878190557001293,NA,NA,0.6295236500511684
NAIVE_model,Carrot,Wholesale,Dambulla,Test,127.85714285714286,133.4032554753765,127.85714285714286,34.87910095131707,34.87910095131707,NA,NA,-0.04059356136820927
NAIVE_model,Carrot,Wholesale,Pettah,Test,114.28571428571429,125.67291889208725,114.28571428571429,29.94226134536221,29.94226134536221,NA,NA,0.5474267151057662
NAIVE_model,Green Chilli,Retail,Dambulla,Test,-236.42857142857142,291.6487069354892,250.71428571428572,-31.051335764246478,32.26198951727311,NA,NA,0.5936591782316887
NAIVE_model,Green Chilli,Retail,Pettah,Test,-28.57142857142857,130.93073414159542,114.28571428571429,-4.834054834054834,12.626262626262626,NA,NA,0.3303571428571428
NAIVE_model,Green Chilli,Wholesale,Dambulla,Test,-236.42857142857142,291.6487069354892,250.71428571428572,-32.340157838586336,33.58239386343106,NA,NA,0.5936591782316887
NAIVE_model,Green Chilli,Wholesale,Pettah,Test,-28.57142857142857,130.93073414159542,114.28571428571429,-5.663265306122449,14.23469387755102,NA,NA,0.3303571428571428
NAIVE_model,Lime,Retail,Dambulla,Test,-38.57142857142857,40.17817460121495,38.57142857142857,-21.702135479548883,21.702135479548883,NA,NA,-0.30875576036866353
NAIVE_model,Lime,Retail,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Lime,Wholesale,Dambulla,Test,-38.57142857142857,40.17817460121495,38.57142857142857,-26.123205678266856,26.123205678266856,NA,NA,-0.30875576036866353
NAIVE_model,Lime,Wholesale,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Potato (Imp),Retail,Dambulla,Test,-3.7142857142857135,7.716751722250573,6.094285714285718,-2.4829216901573066,3.861172620171763,NA,NA,0.4664091985878952
NAIVE_model,Potato (Imp),Retail,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Potato (Imp),Wholesale,Dambulla,Test,-3.7142857142857135,7.716751722250573,6.094285714285718,-2.864407509624659,4.423215394805386,NA,NA,0.4664091985878952
NAIVE_model,Potato (Imp),Wholesale,Pettah,Test,-3.1428571428571432,6.951030756041047,3.714285714285714,-2.0616511984140042,2.397785652195517,NA,NA,-0.16579828962300622
NAIVE_model,Pumpkin,Retail,Dambulla,Test,15.714285714285714,16.281355682409952,15.714285714285714,10.354352414541406,10.354352414541406,NA,NA,-0.11944702051103982
NAIVE_model,Pumpkin,Retail,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Pumpkin,Wholesale,Dambulla,Test,15.714285714285714,16.281355682409952,15.714285714285714,12.90820070006475,12.90820070006475,NA,NA,-0.11944702051103899
NAIVE_model,Pumpkin,Wholesale,Pettah,Test,-2.8571428571428568,5.3452248382484875,2.8571428571428568,-2.3809523809523805,2.3809523809523805,NA,NA,-0.05714285714285713
NAIVE_model,Snake gourd,Retail,Dambulla,Test,-15.714285714285714,21.785571240748183,20,-6.037058513758062,7.442210738582418,NA,NA,-0.388966948488739
NAIVE_model,Snake gourd,Retail,Pettah,Test,-142.85714285714286,148.2703986447926,142.85714285714286,-36.450450857222116,36.450450857222116,NA,NA,0.6176734337194354
NAIVE_model,Snake gourd,Wholesale,Dambulla,Test,-12.857142857142858,18.126539343499314,17.142857142857142,-5.468261800437223,7.026703358878782,NA,NA,-0.500892857142857
NAIVE_model,Snake gourd,Wholesale,Pettah,Test,-142.85714285714286,148.2703986447926,142.85714285714286,-41.85554139000287,41.85554139000287,NA,NA,0.6176734337194354
NAIVE_model,Tomato,Retail,Dambulla,Test,18.57142857142857,51.199888392735495,40,3.355945789038488,9.440737245739784,NA,NA,0.5935518985720688
NAIVE_model,Tomato,Retail,Pettah,Test,71.42857142857143,79.18222906688091,71.42857142857143,12.163051212621122,12.163051212621122,NA,NA,0.43411158455294024
NAIVE_model,Tomato,Wholesale,Dambulla,Test,18.57142857142857,51.199888392735495,40,3.523338238989477,10.175061308622995,NA,NA,0.5935518985720688
NAIVE_model,Tomato,Wholesale,Pettah,Test,78.57142857142857,89.75265837686528,78.57142857142857,15.701567638196838,15.701567638196838,NA,NA,0.3506829905559111
NAIVE_model,Potato (Local),Retail,Dambulla,Test,18.928571428571427,24.044230077089182,18.928571428571427,5.837477846774679,5.837477846774679,NA,NA,-0.08777819221683453
NAIVE_model,Potato (Local),Retail,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Potato (Local),Wholesale,Dambulla,Test,20.714285714285715,25,20.714285714285715,6.814449917898193,6.814449917898193,NA,NA,-0.02380952380952377
NAIVE_model,Potato (Local),Wholesale,Pettah,Test,13.714285714285714,19.5813322179205,16.571428571428573,3.7765563378938625,4.642357203694728,NA,NA,0.6820339084233779
NAIVE_model,Big Onion (Local),Retail,Dambulla,Test,-3.571428571428571,10.723805294763608,9,-1.6600104732689678,3.8108659962010316,NA,NA,0.6169090390647278
NAIVE_model,Big Onion (Local),Retail,Pettah,Test,-9.234285714285713,10.32360678943445,9.234285714285713,-4.198993844311624,4.198993844311624,NA,NA,0.5712515354657343
NAIVE_model,Big Onion (Local),Wholesale,Dambulla,Test,-3.571428571428571,10.723805294763608,9,-1.8283869284323462,4.164374666502097,NA,NA,0.6169090390647278
NAIVE_model,Big Onion (Local),Wholesale,Pettah,Test,-5.818571428571419,6.506639466180451,5.818571428571419,-3.0457205858483425,3.0457205858483425,NA,NA,0.571077331783299
NAIVE_model,Red Onion (Imp),Retail,Dambulla,Test,-13.571428571428571,22.11980366743146,20.714285714285715,-4.165915066298472,6.021202635871755,NA,NA,-0.1715241280458671
NAIVE_model,Red Onion (Imp),Retail,Pettah,Test,0,0,0,0,0,NA,NA,NA
NAIVE_model,Red Onion (Imp),Wholesale,Dambulla,Test,-13.571428571428571,22.11980366743146,20.714285714285715,-4.437006012596983,6.393953175023598,NA,NA,-0.1715241280458671
NAIVE_model,Red Onion (Imp),Wholesale,Pettah,Test,0.4285714285714286,1.8126539343499315,1.5714285714285714,0.1424408353515953,0.5358546959359802,NA,NA,-0.1795112781954887
NAIVE_model,Red Onion (Local),Retail,Dambulla,Test,16.785714285714285,18.21253492986159,16.785714285714285,6.658287992312649,6.658287992312649,NA,NA,0.29228243021346473
NAIVE_model,Red Onion (Local),Retail,Pettah,Test,-4.759999999999991,5.32184178644949,4.759999999999991,-1.5680793877725605,1.5680793877725605,NA,NA,0.5714285714285714
NAIVE_model,Red Onion (Local),Wholesale,Dambulla,Test,16.785714285714285,18.21253492986159,16.785714285714285,7.23245439233051,7.23245439233051,NA,NA,0.29228243021346473
NAIVE_model,Red Onion (Local),Wholesale,Pettah,Test,-21.542857142857127,24.08500778492711,21.542857142857127,-7.281337460066572,7.281337460066572,NA,NA,0.5714284960243426
