.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
SNAIVE_model,Beans,Retail,Dambulla,Test,-477.23214285714283,503.311179937422,477.23214285714283,-108.29250569292633,108.29250569292633,NA,NA,0.5020286699014525
SNAIVE_model,Beans,Retail,Pettah,Test,-471.42857142857144,489.08730191332626,471.42857142857144,-88.55613738184908,88.55613738184908,NA,NA,0.323483247960551
SNAIVE_model,Beans,Wholesale,Dambulla,Test,-477.23214285714283,503.311179937422,477.23214285714283,-116.45253018659744,116.45253018659744,NA,NA,0.5020286699014525
SNAIVE_model,Beans,Wholesale,Pettah,Test,-447.32142857142856,464.581374119294,447.32142857142856,-97.40731978600779,97.40731978600779,NA,NA,0.2737022836810654
SNAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,-12.214285714285714,24.11726974597249,19.285714285714285,-7.771884803954948,11.453215324328777,NA,NA,0.059376550538883764
SNAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-35,51.50154879779276,45.95285714285714,-20.904381939591985,25.641356300358645,NA,NA,0.6828670612669401
SNAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,-12.214285714285714,24.11726974597249,19.285714285714285,-8.899080569085923,13.013718755806241,NA,NA,0.059376550538883764
SNAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-31.214285714285708,38.718170798734796,35.03571428571429,-23.514699076924504,25.693149478037988,NA,NA,0.7177609390843653
SNAIVE_model,Brinjal,Retail,Dambulla,Test,-274.28571428571433,296.987826434014,274.28571428571433,-114.75553886538674,114.75553886538674,NA,NA,0.7736464873642617
SNAIVE_model,Brinjal,Retail,Pettah,Test,-250.89285714285717,278.2411809281396,250.89285714285717,-94.0665269202396,94.0665269202396,NA,NA,0.6989348081311934
SNAIVE_model,Brinjal,Wholesale,Dambulla,Test,-274.28571428571433,296.987826434014,274.28571428571433,-132.34036842161,132.34036842161,NA,NA,0.7736464873642617
SNAIVE_model,Brinjal,Wholesale,Pettah,Test,-254.4642857142857,281.96006134354764,254.4642857142857,-122.34353657581651,122.34353657581651,NA,NA,0.7095452374625808
SNAIVE_model,Cabbage,Retail,Dambulla,Test,-38.392857142857146,44.94595079489523,38.392857142857146,-18.21803029914646,18.21803029914646,NA,NA,0.4793719029965685
SNAIVE_model,Cabbage,Retail,Pettah,Test,-64.28571428571429,77.28526832456494,64.28571428571429,-25.41913330356165,25.41913330356165,NA,NA,0.8519258329664025
SNAIVE_model,Cabbage,Wholesale,Dambulla,Test,-38.392857142857146,44.94595079489523,38.392857142857146,-21.263217169809632,21.263217169809632,NA,NA,0.4793719029965685
SNAIVE_model,Cabbage,Wholesale,Pettah,Test,-64.28571428571429,77.28526832456494,64.28571428571429,-31.749147175707115,31.749147175707115,NA,NA,0.8519258329664025
SNAIVE_model,Carrot,Retail,Dambulla,Test,104.10714285714286,113.73224787694498,104.10714285714286,29.855791991412833,29.855791991412833,NA,NA,0.633424666391741
SNAIVE_model,Carrot,Retail,Pettah,Test,111.42857142857142,115.85775693865794,111.42857142857142,27.658835362575427,27.658835362575427,NA,NA,0.6946579359279393
SNAIVE_model,Carrot,Wholesale,Dambulla,Test,104.10714285714286,113.73224787694498,104.10714285714286,32.71972238810444,32.71972238810444,NA,NA,0.633424666391741
SNAIVE_model,Carrot,Wholesale,Pettah,Test,112.5,117.55615004875635,112.5,31.755992621741274,31.755992621741274,NA,NA,0.7086363867979825
SNAIVE_model,Green Chilli,Retail,Dambulla,Test,-495.1785714285714,559.267372244388,495.1785714285714,-82.16388413773974,82.16388413773974,NA,NA,0.6000690201620416
SNAIVE_model,Green Chilli,Retail,Pettah,Test,-471.4285714285714,547.1790426946976,478.5714285714286,-73.14117968181117,73.7905303311618,NA,NA,0.5620540870360803
SNAIVE_model,Green Chilli,Wholesale,Dambulla,Test,-495.1785714285714,559.267372244388,495.1785714285714,-86.68855922907373,86.68855922907373,NA,NA,0.6000690201620418
SNAIVE_model,Green Chilli,Wholesale,Pettah,Test,-456.25,530.2109530783815,463.39285714285717,-80.17853405489625,80.89281976918195,NA,NA,0.5456564998149651
SNAIVE_model,Lime,Retail,Dambulla,Test,-50.69642857142858,61.35596926368056,52.83928571428571,-36.491483422552925,37.57251621090278,NA,NA,0.6091527511252743
SNAIVE_model,Lime,Retail,Pettah,Test,-41.60714285714286,59.51440401881117,41.60714285714286,-25.11904761904762,25.11904761904762,NA,NA,0.8805731442558534
SNAIVE_model,Lime,Wholesale,Dambulla,Test,-50.625,61.47982799260259,52.76785714285714,-47.01471956517542,48.288683696282405,NA,NA,0.6131613512105909
SNAIVE_model,Lime,Wholesale,Pettah,Test,-44.10714285714287,60.96691140048253,44.10714285714287,-38.401875901875904,38.401875901875904,NA,NA,0.8889768183396122
SNAIVE_model,Potato (Imp),Retail,Dambulla,Test,-18.41071428571429,25.47542331065654,22.506428571428568,-12.613542416321947,14.779965843949356,NA,NA,0.7933119330357573
SNAIVE_model,Potato (Imp),Retail,Pettah,Test,-14.107142857142854,17.03462859673117,14.107142857142854,-7.787898469013021,7.787898469013021,NA,NA,0.7058786788587419
SNAIVE_model,Potato (Imp),Wholesale,Dambulla,Test,-18.767857142857142,25.892581259614005,22.863571428571426,-14.949368856592239,17.372231858461305,NA,NA,0.8022469098721082
SNAIVE_model,Potato (Imp),Wholesale,Pettah,Test,-3.0357142857142856,14.343457443328349,11.441428571428569,-2.4519431792601902,7.0990250252114215,NA,NA,0.6418143249761689
SNAIVE_model,Pumpkin,Retail,Dambulla,Test,7.892857142857144,23.05270885848962,19.965,4.165050801972505,15.600618821614008,NA,NA,0.6886516372855571
SNAIVE_model,Pumpkin,Retail,Pettah,Test,-17.5,30.3484394750608,20.71428571428571,-11.782993784977842,13.390136642120698,NA,NA,0.8686856118242678
SNAIVE_model,Pumpkin,Wholesale,Dambulla,Test,7.892857142857144,23.052708858489616,19.965,4.545706631540406,20.629842237008578,NA,NA,0.6886516372855571
SNAIVE_model,Pumpkin,Wholesale,Pettah,Test,-12.142857142857146,18.322507626258087,12.5,-11.940559440559442,12.215284715284714,NA,NA,0.910375532326752
SNAIVE_model,Snake gourd,Retail,Dambulla,Test,-84.28571428571429,97.22030090028963,87.85714285714285,-35.389370978873146,36.560331166226774,NA,NA,0.5683397344205122
SNAIVE_model,Snake gourd,Retail,Pettah,Test,-228.75,237.22079662205,228.75,-76.8239622113693,76.8239622113693,NA,NA,0.8819265660734843
SNAIVE_model,Snake gourd,Wholesale,Dambulla,Test,-83.75,95.57004413368388,87.32142857142858,-39.86713107450504,41.165832373206335,NA,NA,0.5618795937049482
SNAIVE_model,Snake gourd,Wholesale,Pettah,Test,-227.32142857142858,235.9830334246208,227.32142857142858,-92.25700032076276,92.25700032076276,NA,NA,0.8878180152520261
SNAIVE_model,Tomato,Retail,Dambulla,Test,-31.25,95.50911201854736,78.39285714285714,-9.62039147566308,19.557809328597816,NA,NA,0.6523096067397114
SNAIVE_model,Tomato,Retail,Pettah,Test,-91.07142857142858,147.9355823129977,119.64285714285715,-20.410218460326647,25.38857343868163,NA,NA,0.6105863477031257
SNAIVE_model,Tomato,Wholesale,Dambulla,Test,-31.25,95.50911201854736,78.39285714285714,-10.561035531077927,21.171804584004814,NA,NA,0.6523096067397114
SNAIVE_model,Tomato,Wholesale,Pettah,Test,-80.35714285714285,140.6829854165538,112.5,-21.3986675332171,27.94989408444365,NA,NA,0.496775816512772
SNAIVE_model,Potato (Local),Retail,Dambulla,Test,56.87499999999999,62.90578908176894,57.23214285714285,16.69310201459812,16.810198033333485,NA,NA,0.5927413003959489
SNAIVE_model,Potato (Local),Retail,Pettah,Test,21.14285714285714,33.29420327066817,26.666428571428565,4.840380203998705,6.287235098968088,NA,NA,0.7673457049052103
SNAIVE_model,Potato (Local),Wholesale,Dambulla,Test,57.32142857142857,62.987051503804,57.32142857142857,17.886887929230753,17.886887929230753,NA,NA,0.5871719950369374
