.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
SNAIVE_model,Beans,Retail,Dambulla,Test,-461.7857142857143,490.14793820214066,461.7857142857143,-102.42691321748201,102.42691321748201,NA,NA,0.5058242323793806
SNAIVE_model,Beans,Retail,Pettah,Test,-433.3333333333333,449.720712866277,433.3333333333333,-75.11188687950249,75.11188687950249,NA,NA,0.1709347831754979
SNAIVE_model,Beans,Wholesale,Dambulla,Test,-461.7857142857143,490.14793820214066,461.7857142857143,-109.99662659387295,109.99662659387295,NA,NA,0.5058242323793806
SNAIVE_model,Beans,Wholesale,Pettah,Test,-417.85714285714283,435.63572108553524,417.85714285714283,-85.69653220144954,85.69653220144954,NA,NA,0.2139765742266145
SNAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,-12.595238095238091,25.398955359095645,20.833333333333332,-8.193467169301211,12.401627751088169,NA,NA,0.12550098502834328
SNAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-30,50.116573154615274,44.60380952380952,-18.068587684161866,24.38455349851741,NA,NA,0.6858234439862163
SNAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,-12.595238095238091,25.398955359095645,20.833333333333332,-9.406632613219147,14.099166068528778,NA,NA,0.12550098502834328
SNAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-27.166666666666668,36.09475558792968,32.26190476190476,-20.11831641560796,23.022916950425934,NA,NA,0.7105867469163156
SNAIVE_model,Brinjal,Retail,Dambulla,Test,-243.57142857142858,268.3638304704304,243.57142857142858,-92.86543391706736,92.86543391706736,NA,NA,0.7361514569699015
SNAIVE_model,Brinjal,Retail,Pettah,Test,-207.14285714285714,228.82550363603642,207.14285714285714,-61.73155970317661,61.73155970317661,NA,NA,0.5265795670144192
SNAIVE_model,Brinjal,Wholesale,Dambulla,Test,-243.57142857142858,268.3638304704304,243.57142857142858,-105.84671743105889,105.84671743105889,NA,NA,0.7361514569699015
SNAIVE_model,Brinjal,Wholesale,Pettah,Test,-211.9047619047619,234.8166796014449,211.9047619047619,-78.20408051378709,78.20408051378709,NA,NA,0.5734191796079269
SNAIVE_model,Cabbage,Retail,Dambulla,Test,-37.61904761904762,43.909472782077444,37.61904761904762,-17.74565269438729,17.74565269438729,NA,NA,0.609826945420724
SNAIVE_model,Cabbage,Retail,Pettah,Test,-49.76190476190476,63.69465022014539,49.76190476190476,-18.779082415118193,18.779082415118193,NA,NA,0.7619459967262747
SNAIVE_model,Cabbage,Wholesale,Dambulla,Test,-37.61904761904762,43.909472782077444,37.61904761904762,-20.683963720710658,20.683963720710658,NA,NA,0.609826945420724
SNAIVE_model,Cabbage,Wholesale,Pettah,Test,-49.76190476190476,63.69465022014539,49.76190476190476,-23.189452605497053,23.189452605497053,NA,NA,0.7619459967262747
SNAIVE_model,Carrot,Retail,Dambulla,Test,110.95238095238095,120.45660704565931,110.95238095238095,31.20522279581707,31.20522279581707,NA,NA,0.6630193144654726
SNAIVE_model,Carrot,Retail,Pettah,Test,115.23809523809524,120.04411447067123,115.23809523809524,28.312304865055992,28.312304865055992,NA,NA,0.6667611582076288
SNAIVE_model,Carrot,Wholesale,Dambulla,Test,110.95238095238095,120.45660704565931,110.95238095238095,34.13531326777082,34.13531326777082,NA,NA,0.6630193144654726
