.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
SNAIVE_model,Beans,Retail,Dambulla,Test,-362.14285714285717,377.1346439744223,362.14285714285717,-62.9209831940725,62.9209831940725,NA,NA,0.334067711802605
SNAIVE_model,Beans,Retail,Pettah,Test,-400,420.883424647321,400,-66.23641528571814,66.23641528571814,NA,NA,0.5833333333333334
SNAIVE_model,Beans,Wholesale,Dambulla,Test,-362.14285714285717,377.1346439744223,362.14285714285717,-66.46339929695186,66.46339929695186,NA,NA,0.334067711802605
SNAIVE_model,Beans,Wholesale,Pettah,Test,-400,420.883424647321,400,-79.76186239794386,79.76186239794386,NA,NA,0.5833333333333333
SNAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,0.7857142857142866,23.787234872030478,15.642857142857144,-0.3656292330651692,8.18875848476585,NA,NA,-0.14048987968163767
SNAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-2.8571428571428594,40.747850425337944,38.09714285714285,-2.7556640916453587,17.60239953881315,NA,NA,0.6649684693014496
SNAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,0.7857142857142866,23.787234872030478,15.642857142857144,-0.5112635416554004,9.157880083008784,NA,NA,-0.14048987968163767
SNAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-9.5,27.64119596337529,24.785714285714285,-7.022899830509495,15.73670143496342,NA,NA,0.687109085126683
SNAIVE_model,Brinjal,Retail,Dambulla,Test,-117.85714285714286,123.16091553039752,117.85714285714286,-26.31792646335822,26.31792646335822,NA,NA,0.24926399176337108
SNAIVE_model,Brinjal,Retail,Pettah,Test,-139.28571428571428,169.17732784608833,139.28571428571428,-32.54209841454374,32.54209841454374,NA,NA,0.4688602481090439
SNAIVE_model,Brinjal,Wholesale,Dambulla,Test,-117.85714285714286,123.16091553039752,117.85714285714286,-28.235307218106705,28.235307218106705,NA,NA,0.24926399176337108
SNAIVE_model,Brinjal,Wholesale,Pettah,Test,-139.28571428571428,169.17732784608833,139.28571428571428,-36.872349722301465,36.872349722301465,NA,NA,0.4688602481090439
SNAIVE_model,Cabbage,Retail,Dambulla,Test,-16.428571428571427,19.138136198252354,16.428571428571427,-6.921271415641121,6.921271415641121,NA,NA,-0.5154031103337484
