.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA_model,Beans,Retail,Dambulla,Test,-250.13018185469636,265.9362710514579,250.13018185469636,-56.860080543395576,56.860080543395576,NA,NA,0.6193692103866998
ARIMA_model,Beans,Retail,Pettah,Test,-287.4887556071662,299.2986137633327,287.4887556071662,-50.22084523084981,50.22084523084981,NA,NA,0.4658795131323441
ARIMA_model,Beans,Wholesale,Dambulla,Test,-253.7404230308283,270.2492769339152,253.7404230308283,-62.05467797499342,62.05467797499342,NA,NA,0.6311233482681745
ARIMA_model,Beans,Wholesale,Pettah,Test,-259.3697994301573,274.65367549267705,259.3697994301573,-54.01312428437968,54.01312428437968,NA,NA,0.5358472467204527
ARIMA_model,Big Onion (Imp),Retail,Dambulla,Test,-25.190014079686495,29.665893386099995,27.661706958134253,-15.811947276581835,16.98894388536648,NA,NA,0.27259083966958164
ARIMA_model,Big Onion (Imp),Retail,Pettah,Test,-43.817016642413655,49.29201509275269,44.61449753951598,-24.793055368730442,25.125339075856413,NA,NA,0.7887166433540505
ARIMA_model,Big Onion (Imp),Wholesale,Dambulla,Test,-24.53383660227405,28.995251626711916,27.185506497916,-17.620620323742916,19.01623605829131,NA,NA,0.24762414973360122
ARIMA_model,Big Onion (Imp),Wholesale,Pettah,Test,-37.54683446363173,40.25811639319447,37.54683446363173,-27.05818161539701,27.05818161539701,NA,NA,0.8202692924044679
ARIMA_model,Brinjal,Retail,Dambulla,Test,-239.37786214147542,260.2774449946546,239.37786214147542,-91.76478959078163,91.76478959078163,NA,NA,0.8135203740824446
ARIMA_model,Brinjal,Retail,Pettah,Test,-81.61502220492362,110.28043544118388,86.32949207132859,-28.483523238535525,29.426417211816513,NA,NA,0.6636151631170805
ARIMA_model,Brinjal,Wholesale,Dambulla,Test,-239.52939608534626,260.4071714347603,239.52939608534626,-104.69589910635182,104.69589910635182,NA,NA,0.8140014321458856
ARIMA_model,Brinjal,Wholesale,Pettah,Test,-84.77520109707044,115.99948819457401,89.59258844016998,-38.142365688588576,39.21289620927736,NA,NA,0.7267561975115139
ARIMA_model,Cabbage,Retail,Dambulla,Test,-36.74814649552167,41.36208425418458,37.657385313226904,-17.40021037234339,17.736965490012,NA,NA,0.6748403797878268
ARIMA_model,Cabbage,Retail,Pettah,Test,-53.333333333333336,65.76371043002219,53.333333333333336,-19.969558605594383,19.969558605594383,NA,NA,0.7734092534275178
ARIMA_model,Cabbage,Wholesale,Dambulla,Test,-36.70210123061893,41.32592699248411,37.61853374948094,-20.264883590433502,20.646730473292674,NA,NA,0.6750092516172779
ARIMA_model,Cabbage,Wholesale,Pettah,Test,-56.37171015494642,68.58177942258105,56.37171015494642,-25.915374871554523,25.915374871554523,NA,NA,0.7788061911204358
ARIMA_model,Carrot,Retail,Dambulla,Test,90.03963921592039,102.3374730401562,90.03963921592039,24.888102294464005,24.888102294464005,NA,NA,0.6578068814599335
ARIMA_model,Carrot,Retail,Pettah,Test,103.29969223513929,108.46549276997767,103.29969223513929,25.259395494598113,25.259395494598113,NA,NA,0.6855816610187768
