Item,Type,Market,RMSE,MAE,MPE,MAPE,MASE
Beans,Retail,Dambulla,195.8791094831412,150.69376606418268,-26.75413791339563,28.105439703292767,NA
Beans,Retail,Pettah,283.76887706447746,265.84066058967375,-42.444962553968985,42.444962553968985,NA
Beans,Wholesale,Dambulla,157.13913267760498,114.61565644616012,-20.775585722039946,22.451970731066915,NA
Beans,Wholesale,Pettah,226.24352463533475,203.90456572216988,-29.787927368367416,37.95044720963726,NA
Big Onion (Imp),Retail,Dambulla,189.6790386525785,181.84511056254436,109.44295473456357,109.44295473456357,NA
Big Onion (Imp),Retail,Pettah,158.37972734292424,147.58477763352795,76.08237688400999,81.7052823821743,NA
Big Onion (Imp),Wholesale,Dambulla,199.40651261343805,192.37339205580201,132.8026072677917,132.8026072677917,NA
Big Onion (Imp),Wholesale,Pettah,233.03320634645513,217.48580658652364,151.7321430094755,151.7321430094755,NA
Big Onion (Local),Retail,Dambulla,157.54351140481725,142.19272260021668,62.868044238594,64.56398920338823,NA
Big Onion (Local),Retail,Pettah,162.71497955608882,160.684544332241,77.84917574868007,77.84917574868007,NA
Big Onion (Local),Wholesale,Dambulla,162.25059908722855,145.10603287677176,73.19392580041685,73.85735674697297,NA
Big Onion (Local),Wholesale,Pettah,155.53200538495076,146.69895799347796,77.27182477263871,81.4726483786712,NA
Brinjal,Retail,Dambulla,135.19142626484023,116.6633130943354,17.43987488890107,39.17856274060701,NA
Brinjal,Retail,Pettah,94.75910233754405,67.39173914317632,-1.4311008350403744,19.224569514090252,NA
Brinjal,Wholesale,Dambulla,118.64859269678175,104.64542900561563,34.15841106131881,44.202505347371705,NA
Brinjal,Wholesale,Pettah,105.90268613871879,79.01497785996354,14.40281401299344,30.382089269320726,NA
Cabbage,Retail,Dambulla,133.92554783133193,126.78016216812888,56.14609841541699,58.20926150070995,NA
Cabbage,Retail,Pettah,83.93448101320016,74.72812436156276,13.845927443112465,25.748463781039103,NA
Cabbage,Wholesale,Dambulla,176.64540086987225,166.69817880655026,87.27762996481755,88.54753770425867,NA
Cabbage,Wholesale,Pettah,125.36566067968386,121.68108778463086,51.54559773864428,51.54559773864428,NA
Carrot,Retail,Dambulla,100.03205018286016,66.39480748455239,5.082472586271081,19.05076581897874,NA
Carrot,Retail,Pettah,80.57771961272189,64.02546606648106,-16.163929784384727,16.237233559475012,NA
Carrot,Wholesale,Dambulla,103.53990640005918,79.57639020865568,18.141056618595293,26.012822745421808,NA
Carrot,Wholesale,Pettah,58.71997953322834,38.34150350083562,-6.667786713136649,10.528614085915573,NA
Green Chilli,Retail,Dambulla,414.78273637845865,363.7402802351466,-47.25778996098646,47.25778996098646,NA
Green Chilli,Retail,Pettah,458.2696295074316,422.28298451741404,-51.55830861317223,51.55830861317223,NA
Green Chilli,Wholesale,Dambulla,413.4061396587512,354.19553465340135,-47.284136695509275,47.284136695509275,NA
Green Chilli,Wholesale,Pettah,412.57126128258506,365.07905731281875,-48.60381927469426,48.60381927469426,NA
Lime,Retail,Dambulla,202.14552287315192,195.97849113794328,124.9696338390542,124.9696338390542,NA
Lime,Retail,Pettah,137.00659433286992,134.8103200385217,58.63390865418173,58.63390865418173,NA
Lime,Wholesale,Dambulla,210.08490207398813,202.37078096733117,164.94927190154363,164.94927190154363,NA
Lime,Wholesale,Pettah,169.20748129217498,160.02302370670816,91.953643678341,94.47776963916073,NA
Potato (Imp),Retail,Dambulla,181.16453132106466,175.38379135277268,108.00861733984563,108.00861733984563,NA
Potato (Imp),Retail,Pettah,162.9503832162525,152.31756147788525,80.85527120552264,81.1623613018172,NA
Potato (Imp),Wholesale,Dambulla,218.78891828072895,213.44547482324154,149.41716334499188,149.41716334499188,NA
Potato (Imp),Wholesale,Pettah,161.2670087017177,149.10418254011873,86.40301670200813,87.3487319871071,NA
Potato (Local),Retail,Dambulla,44.88568283771544,35.83468014586419,2.3629615150031746,11.035494118718729,NA
Potato (Local),Retail,Pettah,125.59054310219241,87.23395782458455,-4.247059702460861,22.206423134144707,NA
Potato (Local),Wholesale,Dambulla,74.60689715015383,54.36747874130854,10.135031890426529,18.071772723074194,NA
Potato (Local),Wholesale,Pettah,61.086383701211254,55.62078826174408,-2.507510564170692,14.617467521157652,NA
Pumpkin,Retail,Dambulla,225.13716441433462,215.14157215258615,166.2843273625667,166.2843273625667,NA
Pumpkin,Retail,Pettah,154.66403253325254,147.74545068886746,74.8306933225227,79.37285749161126,NA
Pumpkin,Wholesale,Dambulla,268.0580321981636,260.0794040098594,261.17336123008664,261.17336123008664,NA
Pumpkin,Wholesale,Pettah,231.1486594358627,223.8370611602342,183.93615383762025,183.93615383762025,NA
Red Onion (Imp),Retail,Dambulla,56.001998726430855,47.42629459712697,11.203883519473678,14.637943574970166,NA
Red Onion (Imp),Retail,Pettah,67.76258941909781,45.36716325228051,-3.0917231755127315,12.962046643508723,NA
Red Onion (Imp),Wholesale,Dambulla,62.1186368658902,51.429693993560875,12.830557767684663,17.202037315876787,NA
Red Onion (Imp),Wholesale,Pettah,74.87701042900386,64.06293701667033,13.780296979338486,22.474517513890593,NA
Red Onion (Local),Retail,Dambulla,150.9931745129807,140.5746852716296,64.63849890267772,69.7666518527405,NA
Red Onion (Local),Retail,Pettah,79.60694971435039,75.18123588476422,22.792605174103187,25.251381076466128,NA
Red Onion (Local),Wholesale,Dambulla,153.9919862169981,138.58757182471373,78.98216748628857,78.98216748628857,NA
Red Onion (Local),Wholesale,Pettah,113.99456629904158,97.7126379350327,28.593188115333927,35.40694630994123,NA
Snake gourd,Retail,Dambulla,112.81320380900749,83.61685347448227,29.5817356677755,31.14777591510983,NA
Snake gourd,Retail,Pettah,91.43331332485735,63.41404086618198,-1.920373330199248,17.244030534763656,NA
Snake gourd,Wholesale,Dambulla,159.3739143516505,129.5106019042398,53.4021735271529,53.53409928299664,NA
Snake gourd,Wholesale,Pettah,116.87229471281081,100.18869353042264,18.634266729961467,33.501818533383066,NA
Tomato,Retail,Dambulla,112.01640863190595,90.87172741457726,-19.938560304365044,20.902008945344797,NA
Tomato,Retail,Pettah,224.09823277948664,212.18549498737022,-38.225339479346395,38.225339479346395,NA
Tomato,Wholesale,Dambulla,89.4643173165876,68.57367966365491,-5.319232613176592,16.96124564688051,NA
Tomato,Wholesale,Pettah,95.95074416066383,90.37503638294008,-19.19328839199285,19.480877461657762,NA
