Item,Type,Market,RMSE,MAE,MPE,MAPE,MASE
Beans,Retail,Dambulla,313.2951400359894,285.6886658693237,-46.997080367679196,46.997080367679196,NA
Beans,Retail,Pettah,341.81244024273997,326.6978631752824,-50.23929102039151,50.23929102039151,NA
Beans,Wholesale,Dambulla,252.66809251742015,217.5034590379823,-37.08563096919702,37.08563096919702,NA
Beans,Wholesale,Pettah,293.8278469435602,287.93421798249165,-30.334388379841535,54.82194790365106,NA
Big Onion (Imp),Retail,Dambulla,177.60411436644094,159.71973504025644,89.00896281769023,89.00896281769023,NA
Big Onion (Imp),Retail,Pettah,115.4906147907333,96.9495008730812,29.582314850500538,46.451031344993446,NA
Big Onion (Imp),Wholesale,Dambulla,172.54124677801576,157.7749412181467,100.98366709003896,100.98366709003896,NA
Big Onion (Imp),Wholesale,Pettah,256.60027174110627,213.57400409560162,132.42053330699125,132.42053330699125,NA
Big Onion (Local),Retail,Dambulla,192.02664031828442,157.35741642495535,59.25456649114918,64.34240138553189,NA
Big Onion (Local),Retail,Pettah,173.7277328903583,171.23472949150965,77.19924082400435,77.19924082400435,NA
Big Onion (Local),Wholesale,Dambulla,168.79614663854977,119.90256187004262,52.65809056882465,54.648383408493025,NA
Big Onion (Local),Wholesale,Pettah,121.92919502576012,103.65184733619141,41.6091022309318,54.21157304902927,NA
Brinjal,Retail,Dambulla,176.25703951151885,155.32316760216656,-31.616288431556956,33.291624274866095,NA
Brinjal,Retail,Pettah,142.8994747102312,120.13013898621574,-23.852846295830116,26.531365994161426,NA
Brinjal,Wholesale,Dambulla,104.09782219952245,76.73465583549067,-12.129396561056861,18.002886297101828,NA
Brinjal,Wholesale,Pettah,131.91308647676442,99.08367107446908,-23.227328541887346,24.45130709508934,NA
Cabbage,Retail,Dambulla,118.17311202076363,103.18906570117959,36.24259977632546,42.432089032204324,NA
Cabbage,Retail,Pettah,90.66251365563566,72.69233666759273,-14.895351524049369,20.812257489730552,NA
Cabbage,Wholesale,Dambulla,171.78620248133322,147.2655716580907,65.47278064666308,69.28250386498647,NA
Cabbage,Wholesale,Pettah,115.24395957648609,112.68437361258033,39.105064927297505,39.105064927297505,NA
Carrot,Retail,Dambulla,158.10706403392723,120.98571684538129,-5.924097663334843,31.080108652345857,NA
Carrot,Retail,Pettah,120.93985047259703,104.03101148243171,-26.52752569964166,26.747437024912507,NA
Carrot,Wholesale,Dambulla,142.93747397107262,109.96362948431866,6.976520132941388,30.591818513420925,NA
Carrot,Wholesale,Pettah,94.25127888972534,78.2160286927581,-19.82640059353598,21.22688674913885,NA
Green Chilli,Retail,Dambulla,589.0395089993441,545.2465070738231,-58.637958623652395,58.637958623652395,NA
Green Chilli,Retail,Pettah,605.829420513179,571.5243158881154,-58.29111602119935,58.29111602119935,NA
Green Chilli,Wholesale,Dambulla,595.4428063223198,550.4524620963691,-61.20810147493123,61.20810147493123,NA
Green Chilli,Wholesale,Pettah,597.1415254337055,573.190903167126,-64.4683974969455,64.4683974969455,NA
Lime,Retail,Dambulla,206.27345973536018,191.4441366871833,104.61020322412985,104.61020322412985,NA
Lime,Retail,Pettah,155.22772029008033,152.52835938691427,61.01134375476571,61.01134375476571,NA
Lime,Wholesale,Dambulla,155.1448101846334,144.06250299476795,96.616162667906,96.616162667906,NA
Lime,Wholesale,Pettah,131.04594846055497,111.32802528361182,48.091634759346725,55.66401264180591,NA
Potato (Imp),Retail,Dambulla,172.33273358293766,160.01212386412058,98.29500618905234,98.29500618905234,NA
Potato (Imp),Retail,Pettah,142.45413180138002,115.97021276508474,57.063836093658715,57.98510638254237,NA
Potato (Imp),Wholesale,Dambulla,230.28012000586665,216.27511863404098,152.00372099674442,152.00372099674442,NA
Potato (Imp),Wholesale,Pettah,127.00597078779735,97.29351333599102,56.694695168002795,59.53184102329975,NA
Potato (Local),Retail,Dambulla,60.35135401077732,51.54444915657398,-1.7044792952857837,16.675975463418695,NA
Potato (Local),Retail,Pettah,200.64425640724363,154.92872008795493,12.577074251264973,40.77071581261971,NA
Potato (Local),Wholesale,Dambulla,112.90228546100816,87.24035884067732,12.636688407524057,30.078156591016914,NA
Potato (Local),Wholesale,Pettah,59.67252647789841,58.74209623068884,16.942026399606736,16.942026399606736,NA
Pumpkin,Retail,Dambulla,219.8438250286806,191.70234628938775,127.14273707056248,127.14273707056248,NA
Pumpkin,Retail,Pettah,139.46398178005344,124.04551653467264,48.39626576007066,62.02275826733632,NA
