.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
NAIVE_model,Beans,Retail,Dambulla,Test,-262.94642857142856,276.6118688575332,262.94642857142856,-61.19071186471873,61.19071186471873,NA,NA,0.6024426523218701
NAIVE_model,Beans,Retail,Pettah,Test,-328.57142857142856,343.6498598760912,328.57142857142856,-62.40249929341454,62.40249929341454,NA,NA,0.7076938078897697
NAIVE_model,Beans,Wholesale,Dambulla,Test,-262.94642857142856,276.6118688575332,262.94642857142856,-65.8950699200357,65.8950699200357,NA,NA,0.6024426523218701
NAIVE_model,Beans,Wholesale,Pettah,Test,-304.4642857142857,318.6069753854829,304.4642857142857,-67.01698705515405,67.01698705515405,NA,NA,0.66898786492426765
NAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,-35.42857142857143,38.14960943443589,36.142857142857146,-21.670277309934296,22.010413364356065,NA,NA,0.20554664806072848
NAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-55,59.49524458787801,55,-31.448114887687595,31.448114887687595,NA,NA,0.8190059511951976
NAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,-35.42857142857143,38.14960943443589,36.142857142857146,-24.70202516031779,25.07796500994185,NA,NA,0.20554664806072848
NAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-44.142857142857146,46.448117522980105,44.142857142857146,-32.57340643004708,32.57340643004708,NA,NA,0.8366028050986868
NAIVE_model,Brinjal,Retail,Dambulla,Test,-285,303.30421629352367,285,-119.32528175893182,119.32528175893182,NA,NA,0.8462770861108609
NAIVE_model,Brinjal,Retail,Pettah,Test,-118.75,154.66453714410423,122.32142857142856,-51.20401947666036,51.9183051909461,NA,NA,0.8646048743558442
NAIVE_model,Brinjal,Wholesale,Dambulla,Test,-285,303.30421629352367,285,-137.64351605512763,137.64351605512763,NA,NA,0.8462770861108609
NAIVE_model,Brinjal,Wholesale,Pettah,Test,-122.32142857142856,158.2784992843762,125.89285714285715,-68.97301807925224,69.76666887290304,NA,NA,0.8765581316851049
NAIVE_model,Cabbage,Retail,Dambulla,Test,-39.107142857142854,43.57414772545758,39.82142857142857,-18.570584114134544,18.835134378684806,NA,NA,0.46733466500250465
NAIVE_model,Cabbage,Retail,Pettah,Test,-67.85714285714285,79.78640136550302,67.85714285714285,-26.70018920418277,26.70018920418277,NA,NA,0.8791593014632451
NAIVE_model,Cabbage,Wholesale,Dambulla,Test,-39.107142857142854,43.57414772545758,39.82142857142857,-21.6729960217658,21.97061506938485,NA,NA,0.46733466500250465
NAIVE_model,Cabbage,Wholesale,Pettah,Test,-67.85714285714285,79.78640136550302,67.85714285714285,-33.31660749316744,33.31660749316744,NA,NA,0.8791593014632451
NAIVE_model,Carrot,Retail,Dambulla,Test,75.53571428571429,87.42629095415177,75.53571428571429,21.212055267140897,21.212055267140897,NA,NA,0.5816292985738143
NAIVE_model,Carrot,Retail,Pettah,Test,97.14285714285714,102.7904518217246,97.14285714285714,23.924209628028805,23.924209628028805,NA,NA,0.7235102150257954
NAIVE_model,Carrot,Wholesale,Dambulla,Test,75.53571428571429,87.42629095415177,75.53571428571429,23.197446691340986,23.197446691340986,NA,NA,0.5816292985738143
NAIVE_model,Carrot,Wholesale,Pettah,Test,98.21428571428571,104.7010293986781,98.21428571428571,27.45513500358586,27.45513500358586,NA,NA,0.7059708907541977
NAIVE_model,Green Chilli,Retail,Dambulla,Test,-459.46428571428567,494.2145973735932,463.03571428571433,-79.76127526112572,80.06393869938238,NA,NA,0.7702836632328375
NAIVE_model,Green Chilli,Retail,Pettah,Test,-264.28571428571433,320.3730402537463,285.71428571428567,-44.59930909721039,46.54736104526234,NA,NA,0.7552448982988986
NAIVE_model,Green Chilli,Wholesale,Dambulla,Test,-459.46428571428567,494.2145973735932,463.0357142857143,-84.3275124940783,84.63807150028948,NA,NA,0.7702836632328373
NAIVE_model,Green Chilli,Wholesale,Pettah,Test,-249.10714285714283,300.56576281834134,270.53571428571433,-47.885076449919865,50.027933592776996,NA,NA,0.743281006414278
NAIVE_model,Lime,Retail,Dambulla,Test,-63.55357142857142,68.57094433608785,63.55357142857142,-44.61502293029451,44.61502293029451,NA,NA,0.804627334566431
NAIVE_model,Lime,Retail,Pettah,Test,-38.035714285714285,56.82837570892104,38.035714285714285,-23.412698412698408,23.412698412698408,NA,NA,0.9215067625061005
NAIVE_model,Lime,Wholesale,Dambulla,Test,-63.482142857142854,68.65578827954505,63.482142857142854,-57.13929384340042,57.13929384340042,NA,NA,0.805372365995577
NAIVE_model,Lime,Wholesale,Pettah,Test,-40.535714285714285,58.19456282898894,40.535714285714285,-36.07503607503608,36.07503607503608,NA,NA,0.9249323927101706
NAIVE_model,Potato (Imp),Retail,Dambulla,Test,-4.696428571428572,17.438200472361984,15.64857142857143,-4.006532000479632,9.895885624296131,NA,NA,0.7947805879348827
NAIVE_model,Potato (Imp),Retail,Pettah,Test,-12.678571428571427,15.83959775824049,12.678571428571427,-7.039292720407271,7.039292720407271,NA,NA,0.8089721562484207
NAIVE_model,Potato (Imp),Wholesale,Dambulla,Test,-5.053571428571427,17.74274841811638,16.005714285714284,-5.059982084971942,11.659996170270562,NA,NA,0.813106732539504
NAIVE_model,Potato (Imp),Wholesale,Pettah,Test,-2.607142857142855,12.926345191120342,9.75,-2.185338996713548,6.112434353512797,NA,NA,0.7204262977107712
NAIVE_model,Pumpkin,Retail,Dambulla,Test,-7.107142857142856,19.304103560790235,16.03571428571429,-7.767715199532103,13.692604285057554,NA,NA,0.8060161651317962
