Item,Type,Market,mean_RMSE,mean_MAE,mean_MAPE
Beans,Retail,Dambulla,58.08124402288898,42.385217391304344,10.914564836990571
Beans,Retail,Pettah,78.31823772831949,42.31782608695652,8.793173838489736
Beans,Wholesale,Dambulla,58.21071786117264,42.323043478260864,11.932501046034282
Beans,Wholesale,Pettah,81.22587713248795,43.954492753623185,10.744135149401549
Big Onion (Imp),Retail,Dambulla,11.741725979833936,7.450579710144925,4.389391927328648
Big Onion (Imp),Retail,Pettah,6.431047765513705,3.8213043478260884,2.087912971511498
Big Onion (Imp),Wholesale,Dambulla,11.906122587663198,7.747101449275365,5.224001842842052
Big Onion (Imp),Wholesale,Pettah,5.20943653243873,4.10840579710145,2.9190524508228224
Big Onion (Local),Retail,Dambulla,6.4144194446258505,4.873333333333333,2.86845878450911
Big Onion (Local),Retail,Pettah,3.9913952738214293,3.6894202898550703,2.7138484254742687
Big Onion (Local),Wholesale,Dambulla,6.536065496452207,4.309420289855075,2.6928784461376654
Big Onion (Local),Wholesale,Pettah,3.395754809263719,3.029855072463768,2.174369565638957
Brinjal,Retail,Dambulla,31.637101339399287,20.906521739130437,9.320009623318251
Brinjal,Retail,Pettah,23.76318828337865,14.293478260869566,5.627925951300782
Brinjal,Wholesale,Dambulla,32.18671712710524,21.62463768115942,11.262090036849406
Brinjal,Wholesale,Pettah,22.43469417885055,15.795797101449278,8.05685636618323
Cabbage,Retail,Dambulla,17.650934203629834,12.493913043478262,7.175912467852935
Cabbage,Retail,Pettah,16.590067920993825,10.335942028985505,4.514168129450129
Cabbage,Wholesale,Dambulla,17.33672415272926,12.419855072463768,8.89404289037284
Cabbage,Wholesale,Pettah,17.542788476642812,10.877246376811593,6.152892641215136
Carrot,Retail,Dambulla,37.11064187776479,24.67144927536232,8.89893975959193
Carrot,Retail,Pettah,27.993259799510643,18.30985507246377,5.619117391704635
Carrot,Wholesale,Dambulla,37.45435802123177,25.05231884057971,10.198055136469899
Carrot,Wholesale,Pettah,29.37534024471468,19.08666666666667,6.985256210571267
Green Chilli,Retail,Dambulla,71.50889437938694,48.328840579710146,9.88512070965818
Green Chilli,Retail,Pettah,72.83297562012112,47.73956521739131,9.104248283334028
Green Chilli,Wholesale,Dambulla,69.9384585271896,47.94246376811596,10.7475978878329
Green Chilli,Wholesale,Pettah,81.63366957754413,54.93362318840579,13.562955874306615
Lime,Retail,Dambulla,14.96573114470697,11.986231884057968,9.798519095661815
Lime,Retail,Pettah,9.17533216237184,4.893188405797103,3.2279247525849124
Lime,Wholesale,Dambulla,15.603561884334642,12.602173913043478,14.184999085686329
Lime,Wholesale,Pettah,7.258962675922421,4.074202898550726,4.025007169652583
Potato (Imp),Retail,Dambulla,9.298989815791977,6.392753623188407,3.980922966560892
Potato (Imp),Retail,Pettah,7.506869897112506,4.951304347826088,2.818946222116937
Potato (Imp),Wholesale,Dambulla,9.056117557617686,6.067971014492754,4.304537952193532
Potato (Imp),Wholesale,Pettah,9.237661728105145,5.953913043478262,3.82729077490191
Potato (Local),Retail,Dambulla,19.85825940677245,12.355362318840578,4.283781478266759
Potato (Local),Retail,Pettah,10.064910418832875,6.889420289855075,1.687748197000593
Potato (Local),Wholesale,Dambulla,19.403044546698318,12.648260869565217,4.737893736844333
Potato (Local),Wholesale,Pettah,10.067790656129684,6.8657971014492745,1.9218913632746324
Pumpkin,Retail,Dambulla,10.951297587070663,8.078840579710144,6.737606859170748
Pumpkin,Retail,Pettah,7.344464345460405,4.891884057971015,3.221580724650966
Pumpkin,Wholesale,Dambulla,11.401879135742798,8.505652173913042,9.514786557973428
Pumpkin,Wholesale,Pettah,7.878932466495331,4.771884057971015,5.212283142013766
Red Onion (Imp),Retail,Dambulla,17.083552688588174,12.74536231884058,4.916322007788321
Red Onion (Imp),Retail,Pettah,6.7565014315252645,2.8586956521739144,0.7419461697722572
Red Onion (Imp),Wholesale,Dambulla,17.04384839512315,12.563478260869566,5.227248519649125
Red Onion (Imp),Wholesale,Pettah,7.008788272125095,4.82376811594203,2.0010033638249003
Red Onion (Local),Retail,Dambulla,22.82316456102681,15.00927536231884,7.769718962202535
Red Onion (Local),Retail,Pettah,3.3886301794019373,2.6182608695652156,1.0293389762795069
Red Onion (Local),Wholesale,Dambulla,23.170110868987216,15.207536231884056,8.83495737582332
Red Onion (Local),Wholesale,Pettah,5.873294757148481,4.936231884057972,2.3553351368352256
Snake gourd,Retail,Dambulla,25.594593688647542,16.798550724637682,9.124468351272402
Snake gourd,Retail,Pettah,17.879525818048446,10.169565217391305,4.2248039005620495
Snake gourd,Wholesale,Dambulla,24.794938327543118,15.928260869565218,10.969419042952138
Snake gourd,Wholesale,Pettah,19.883930479267622,11.930579710144926,6.16142882021216
Tomato,Retail,Dambulla,36.46516864951651,22.97391304347826,10.556236221268865
Tomato,Retail,Pettah,39.28793001581447,20.31753623188406,7.407797308818255
Tomato,Wholesale,Dambulla,37.76162255095985,23.8836231884058,13.712398412810622
Tomato,Wholesale,Pettah,34.075829591058245,20.222028985507247,9.148657749148278
