"","Item","Type","Market","trend_strength","seasonal_strength_week","seasonal_peak_week","seasonal_trough_week","spikiness","linearity","curvature","stl_e_acf1","stl_e_acf10","acf1","acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","season_acf1","pacf5","diff1_pacf5","diff2_pacf5","season_pacf","zero_run_mean","nonzero_squared_cv","zero_start_prop","zero_end_prop","lambda_guerrero","kpss_stat","kpss_pvalue","pp_stat","pp_pvalue","ndiffs","nsdiffs","bp_stat","bp_pvalue","lb_stat","lb_pvalue","var_tiled_var","var_tiled_mean","shift_level_max","shift_level_index","shift_var_max","shift_var_index","shift_kl_max","shift_kl_index","spectral_entropy","n_crossing_points","longest_flat_spot","coef_hurst","stat_arch_lm","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"1","Beans","Retail","Dambulla",0.970825501421724,0.203191198197234,2,4,0.329470549160084,6029.00906275835,1453.65007375595,0.277430843587072,0.273140224365943,0.96807674571102,7.46229158410917,-0.116949887030603,0.0224284856304121,-0.565611370893582,0.334800923874015,0.822871447091906,0.948974218510593,0.0207145194477186,0.59673441870436,0.0316705108492948,0,0.321999363196605,0,0,0.0786208572308671,19.8222116860493,0.01,-6.11782852271126,0.01,1,0,3223.87369441735,0,3226.68602971344,0,0.0203280515540699,0.957153824321058,425,3433,39732.1428571429,3429,28.4856202228959,3210,0.597413122457058,159,107,0.999859983208964,0.876859239886592,-5.62998250654808,-1.65541442770636,1.60305668047782,-1.70781658394683,-1.66940670976813,0.77667103172324,-0.812694044041635,-1.05929112979485,-0.659762077158973,-2.05723319858705,0.536798510717886,0.220935264841405,0.474713237065581,-0.796149114180981,-0.298842570567716,-0.297117726609226,-0.433341558721849,0.788941793986539,-0.396490860165502,0.0559141858285533,0.081883219200399,-0.175822940705352,-0.029768375498896,0.152933536124011,-0.311467787672145,0.058348973935303,-0.0315898252149,-0.163823622594448,-0.0282332473287251,-0.0254672213302089,-0.0173785353170255,-0.0609359743632368,0.0225981614008356,-0.0433237144501843,0.0152795755486105,0.0370044612180543,-0.012089842605521,-0.00977557485151786,0.00512881261533045,0.0046976555783394,2.91352442840886e-08
"2","Beans","Retail","Pettah",0.983079486208525,0.27095159994863,1,4,0.205433246869403,7313.5913860984,1314.62042533928,0.394650180013124,0.41915320519421,0.981219908366058,7.99746263646864,0.0816076462080962,0.0240671504424143,-0.451258885145576,0.208731487265377,0.864732546875196,0.979270070736975,0.0174379461751818,0.438595693723591,-0.0123951916335834,0,0.346680401287157,0,0,0.0923564596839398,19.9814671918583,0.01,-4.92609726750327,0.01,1,0,3312.0062294942,0,3314.8954469087,0,0.0106652961322294,0.97955468853137,442.857142857143,3211,56963.4775095238,2719,54.8511551348303,3210,0.550015966717247,113,163,0.999913464864144,0.900831685190483,-1.60264674365113,0.422641174862395,3.35646960027563,-2.47297833523835,-0.645074132497153,0.724724485149702,-1.19729587654562,-1.93582313857673,0.0801043913002889,-0.218090715259378,0.432696982123619,0.315583079154961,-0.484444769956446,0.767821475846848,-0.156759567886283,-0.0614477296968296,0.188894450859108,-0.519870032779262,0.151279490212394,-0.602220043622155,-0.544373814551659,0.198656339956079,-0.0474509795932652,0.088484268215201,0.096056581649236,0.206092221174616,0.0951363739572913,0.0166285543505441,-0.0837827184004055,0.167472720295699,0.0320334490906712,-0.02043297174375,-0.0671827340590471,-0.00340333199792748,0.0504847790172661,-0.0172376125249037,-0.0317621019832318,0.0102151810993499,-0.0154800844582234,0.00374710250347153,-1.45816460058016e-08
"3","Beans","Wholesale","Dambulla",0.968667944411971,0.199920576222124,2,4,0.329027258368734,5665.54247875318,1547.16648976063,0.275488770523349,0.272508919805224,0.965854678736464,7.33320157651641,-0.119934162715901,0.0232323992340892,-0.565886492507059,0.334198647760965,0.812618165824299,0.944895178908777,0.0217016296851447,0.597058249912234,0.0272587691905239,0,0.372269034673626,0,0,0.144241894548751,18.5200134508092,0.01,-6.34658871996096,0.01,1,0,3209.09089590369,0,3211.89033547557,0,0.0223466419357098,0.953689464695627,425,3433,39732.1428571429,3429,30.8345916505197,3210,0.604419130657376,195,108,0.999859983208964,0.87617480705448,-6.27818180800624,-1.59379497902721,1.63279225445518,-1.79514269970628,-1.83218801932441,0.881341136508166,-0.436361475891592,-0.869556925501882,-0.515319667140599,-2.11061816769901,0.721171003118437,0.11569897475238,0.708923105748453,-0.973311909341568,-0.000582174590748836,-0.366575675987996,-0.220589946177747,0.665986006234222,-0.137914742603272,0.331175809718122,0.146390368802597,-0.199380641710891,0.0732263385621887,-0.0184830432148879,-0.384211227226034,0.22427641799881,0.0843272936474531,-0.141298478117779,-0.00794669814385064,-0.0734507845449326,0.010181127275432,-0.0216086923963811,0.0480525333921187,-0.0291576730490923,0.0157218522520628,0.0083229786773106,0.00368044661648872,0.0213542029957703,-0.0049863992906294,-0.0130120487378272,-6.3635074960562e-09
"4","Beans","Wholesale","Pettah",0.981527738079566,0.276831215742675,1,4,0.177398613868329,6665.48063862205,1392.77668279188,0.383069399668668,0.391710514265861,0.979536024058444,7.87185232546375,0.0693514331534179,0.0224977782646278,-0.45695982093466,0.212181940547503,0.85595728329568,0.973842726902539,0.0153254004800587,0.449303114963384,-0.012416006563967,0,0.405449103294073,0,0,0.0689230553511511,19.1703103043527,0.01,-5.25095229190695,0.01,1,0,3300.6484291531,0,3303.52773862895,0,0.0118372279344053,0.975222430551523,442.857142857143,3211,47774.4894142857,2719,62.4881908191369,3210,0.5627676735805,143,91,0.999913464864144,0.894079052318838,-2.40805796280649,0.273010974844357,3.3054338761806,-2.6461489098507,-0.67527332435837,0.823669994143805,-0.906370412546824,-1.52964319830721,0.0341502515898362,-0.275705072630112,0.622311771654575,0.177022146946358,-0.554297358597718,0.780718848030295,0.215894220742891,0.118561724509055,0.283806447047075,-0.679890262364052,0.266777255520791,-0.53582911330574,-0.479874814887789,0.067320272384327,-0.108820357957285,-0.248506047987638,0.11934105897671,0.196272474216442,0.182017551642167,0.0482534020035822,0.00262462082731242,0.0951847195662792,-0.0143959793435371,-0.0711736313077497,-0.00367742470076,-0.0626458047452639,-0.0678870767823414,-0.000806178138835298,0.00542869449640145,-0.00217360564147078,0.0189204104035766,0.00437421589838065,-1.50576149017835e-08
"5","Big Onion (Imp)","Retail","Dambulla",0.981199576986568,0.214515585077918,1,3,0.0300533095453958,2619.95768974628,33.3204167885409,0.296613486024279,0.344094091631932,0.981118753381942,8.82943512979241,-0.0934814966445962,0.0330304727157775,-0.513398526982952,0.265759980824812,0.928232722758244,0.995644971016607,0.050170671415337,0.597671626725548,0.057792244936278,0,0.291191131650627,0,0,-0.432841464126478,13.5312889366401,0.01,-4.26463692780005,0.01,1,0,3311.32338833781,0,3314.21201007814,0,0.0265209937142795,0.964927544312043,148.225714285714,2688,18303.119047619,2813,56.5478149243252,2832,0.477028901188419,143,265,0.999859983208964,0.919697009951021,-1.73803057434946,-1.04064840083855,0.450588076005307,1.14450284547452,1.5022120716315,-1.14703043521794,-0.796771258673648,0.784501768406556,-0.852794691844424,-0.94953263354976,-0.690835169046269,-0.985928434900465,-1.10890891384046,0.0475685987875594,1.10429924653898,-0.23625695127349,-0.443842607533768,0.641819453774195,-0.028814863089025,0.212781806394442,-0.0742386984091226,0.117268549921136,-0.197162676725149,0.09272622478163,0.125146212507278,0.262991991641374,-0.356816192712168,-0.126545620030384,-0.0714219575490403,-0.0230134055068539,0.00365708302537341,0.00671424821459284,-0.0850305376115464,0.0389343023361588,0.0217008182936282,-0.0311273902228896,-0.0212457027354125,0.0163808950417256,-0.00520642505693985,0.00146687978027604,-4.12438311947398e-08
"6","Big Onion (Imp)","Retail","Pettah",0.993518276685936,0.189209938106477,1,4,0.0099293442964986,2879.52814464399,83.2263868288819,0.48281439562086,0.564823668520663,0.99400288837958,9.13778523284081,0.180713558749395,0.0634833887914518,-0.470502839781455,0.253241613847487,0.942571127388257,1.03832416202294,0.0581835873504246,0.406233231397062,0.0627595097518995,0,0.324653949368525,0,0,-0.11515721501,12.1843569819872,0.01,-3.70059697510518,0.01,1,0,3398.8635928479,0,3401.82857998908,0,0.00854589332707195,0.985482718385731,271.5,2834,22608.9388190476,2774,99.7851562971217,2777,0.465417838128724,65,224,0.999913464864144,0.970563905759525,2.07987838815031,0.986407111839299,2.30923907808744,2.20206262886052,2.00669383695776,0.277373310900482,-0.0101372786520915,0.642331882354079,-0.495476043615636,-0.89848155953554,-0.988155460081904,-0.916668236727517,-0.244991435981384,0.0904644709925735,-0.0838403424869138,0.514065429177221,0.285418120934116,0.365780087788515,-0.906620201794307,-0.793430253646807,-0.20497197133537,0.034757468929614,-0.201493267820588,0.120821911338215,-0.467221671063406,-0.117399782127197,0.259747170024203,0.210620575708119,-0.0772534452230898,0.0880787304475232,-0.0785848863132639,0.0754132156462194,0.103334672579316,-0.0308439839393137,0.0138208308914358,-0.00473580214734982,-0.015637666034422,0.0166021744523936,-0.00402743983946326,0.0102571198900027,3.177309402714e-08
"7","Big Onion (Imp)","Wholesale","Dambulla",0.979339919163724,0.236132325893499,1,3,0.0287296131075247,2419.68753792578,-61.0360970765073,0.28705380287536,0.327500026372649,0.978525505301518,8.73240071636972,-0.10453497890087,0.0383813941027182,-0.509644368474007,0.266623022410603,0.923421521791439,0.995797331593927,0.057297366056717,0.615832336595674,0.0607339657142009,0,0.338766796866872,0,0,-0.361374028668711,12.3633908506988,0.01,-4.5324901369636,0.01,1,0,3293.84184596804,0,3296.7152177441,0,0.0317237077264168,0.960795222766093,148.225714285714,2688,15295.715347619,2813,59.4730756244705,2832,0.48868302366097,147,233,0.999859983208964,0.907710453518342,-2.44287527646292,-0.942632119371084,0.237057714098458,1.04169807760947,1.77946282296054,-1.25129210531199,-0.602768078637083,0.647614291861396,-0.691477999237258,-0.875199530295321,-0.399060102856188,-1.12553373678299,-1.12144102698274,0.136884671798,1.01641822961761,0.00851927157428662,-0.246396147833224,0.235133400570176,-0.0624733782989587,0.262035022331257,0.0231763533888094,-0.2047690248917,-0.154830674844235,0.155656719258232,0.320067719023668,0.214904166541267,-0.273764469871327,-0.135234252495643,-0.0833917233796408,-0.0789117622964469,0.0126012142643413,0.0319042510668905,-0.0223863604531823,0.00868511321363046,-0.00776341534895395,0.0368120707997144,0.0389328989562303,4.27382552128533e-05,0.0129154770134362,0.0105786059388875,5.58791500292859e-08
"8","Big Onion (Imp)","Wholesale","Pettah",0.992810157870709,0.230814406237016,5,1,0.0061412030017376,2393.61426392786,-121.196708898251,0.52129478315939,0.639741025392936,0.993343994889296,9.01746175682747,0.23434040575139,0.0813320274337515,-0.417367872346626,0.196446008555597,0.934446871368245,1.05071154867137,0.0716688128018628,0.356168865831382,0.0372304778933177,0,0.358602788529986,0,0,-0.232659749360862,11.1837489857973,0.01,-3.99137075041245,0.01,1,0,3394.35908510823,0,3397.32014275735,0,0.0131459990162091,0.981017737807253,265.214285714286,2834,14756.9523809524,2774,60.4444272056382,2832,0.486884906765535,79,374,0.999913464864144,0.960727255818924,2.16382873312072,2.19827999083395,1.9883372307503,2.94741122111955,2.19505591163575,-0.0769440780981356,-0.285173047875997,-0.361615124153541,-2.19925481985446,0.77246599859172,1.34043098274374,-0.0494146028588414,0.0455014105712239,0.203490280741413,0.691043045507767,1.03399653401372,0.0364926195247498,-0.14338727269968,-0.10700412981551,0.415552904884811,-0.106906828840162,-0.459382740787378,0.223763036495138,0.0337627538097894,-0.234491428226567,0.0577918072860797,-0.00669153919627171,0.198470857123905,0.0694775841424872,-0.0118182663211566,-0.0603184215429287,-0.167713368094546,0.00876489895119473,-0.118673745988712,-0.0329346832270035,-0.00197485527358339,0.0540572812976388,-0.0137803860965373,-0.00712909857611802,-0.00164396406796204,-6.43928947150015e-09
"9","Brinjal","Retail","Dambulla",0.979821522410494,0.243243553424963,1,4,0.0393712192881018,4673.52827378465,474.8665639217,0.176060957691762,0.170955925116379,0.97401537731756,8.00650290674924,-0.149019786453195,0.0314652989850766,-0.562291898226904,0.331893076530567,0.868688749541544,0.970293419020968,0.0278992436862002,0.660423434857251,0.00371533253435533,0,0.388428627590841,0,0,0.0684717507414678,20.4013147490182,0.01,-5.34381948685175,0.01,1,0,3263.54848606368,0,3266.39543152986,0,0.0109424521013038,0.967616567382311,275,3127,14048.0928571429,3123,28.2332639220284,2741,0.575170599420204,131,251,0.999859983208964,0.89863497559787,-3.7970096971224,-2.20335251277631,0.257813397216171,-1.10144631500226,-0.741226112877594,0.448171372182751,-0.87232766839088,-0.66847845140627,0.0468366424903592,-0.28084146176573,-0.559034349049721,0.384045608344333,-0.583313366154295,-0.522253938930423,-0.339544775565358,-0.0350106625130206,0.215247124249261,-0.100988862089409,0.213485423041098,0.0253034072388556,0.264030189626931,-0.152578961511386,-0.0748427142022374,0.450490087718956,-0.0243645684122105,-0.440016381864795,-0.218635407031068,0.317806868822838,0.202079422183741,-0.0802729761826133,0.0142798133176836,-0.0136253331100195,-0.0608583404817764,0.0231724979672809,-0.0430466450032731,-0.00891437567411673,0.0140421301451503,-0.00970102333264216,-0.00484835418557257,0.00709086567809256,-1.58557456657292e-08
"10","Brinjal","Retail","Pettah",0.987898031936926,0.242629655468324,3,5,0.0424086153132135,5893.88349338048,573.65838147129,0.436027502603693,0.42341058999672,0.987946621292205,8.41139421279383,0.148887257498997,0.036450687043894,-0.451228362844339,0.212895850984958,0.892775193792753,1.00654032035663,0.0324861463628496,0.421700162308004,-0.0302932700163844,0,0.388014625050075,0,0,-0.118595638191407,22.3326573537121,0.01,-4.96493038406533,0.01,1,0,3357.57253123803,0,3360.5014982615,0,0.0074049489766938,0.97683380901689,327.142857142857,3129,31436.3857142857,3133,44.4963032362906,2699,0.527114364401704,65,256,0.999913464864144,0.930840237472214,0.0666195158045595,0.588249508512142,2.99447994477333,-0.7449971267622,-0.218119401566392,0.847449669905106,-1.12271876440685,-0.897064168943596,-0.223173312731212,0.954190386342326,0.0369665760281969,1.47786056892626,-0.355244165688459,0.868269306162268,-0.445122555201743,0.439099930531993,-0.452258902195439,0.0334170203996417,-0.432139384719554,0.341147999682089,0.13342066048277,-0.32301966125486,-0.297060852515139,-0.0775349336428779,0.115599870859221,0.276431019425257,-0.0688355466858358,0.0212792013783605,0.0183438446760688,-0.112292641567964,0.00256529359017415,0.117826108303157,0.0199168298172729,0.039589437486309,-0.0317957540714745,0.0118888590952395,0.0318537928336362,-0.0022280795758866,-0.0159745214518231,0.00294476592559658,-3.50010016778876e-08
